,Lodging,stress minus equation,original stress equation,stress minus equation with standard thickness,Height,main stem DIAm 3,tiller Diam 3,tiller compressed 3,till.comp.flex,Flex after crushing,Root 
Delta-avg,19.71705228,3.605398063,4.224435599,3.682700267,45.42857143,2.438125,2.590714286,0.898571429,1.208666667,0.310095238,1.844117647
RER-avg,36.5891137,5.899331239,6.337419126,5.924252473,61.78571429,1.896615385,2.150566038,0.869245283,1.093018868,0.223773585,2.050597015
1,31.9921811,2.958270421,3.345268223,3.20278497,69.61111111,2.2925,2.74,1.014444444,1.456666667,0.442222222,2.299166667
2,27.80952381,6.863226231,8.197354865,6.281357412,39,2.02,2.102857143,0.702857143,0.84,0.137142857,1.9925
3,35.07337526,3.260021576,3.558840237,3.546603109,37.61111111,2.73625,2.63,1.035,1.415,0.38,1.864
4,29.93146284,4.341189465,5.085172607,4.305596037,32.83333333,2.684545455,2.435,0.845,0.96,0.115,1.903636364
5,,,,,,,,,,,
6,26.19191097,6.312677026,7.186068215,6.059595977,34.66666667,2.141,2.132,0.78,0.93,0.15,1.659090909
7,20.54136693,6.101874728,6.894025946,5.913983991,43,2.048333333,2.152,0.798,0.948,0.15,1.550833333
8,57.6624464,4.600043888,5.069711223,4.713209584,66.66666667,2.222222222,2.35,0.91,1.12,0.21,1.911818182
9,31.46183319,4.451480792,5.008720985,4.524253017,33.66666667,2.36,2.388,0.892,1.106,0.214,1.90875
10,50.62627423,9.200143044,10.85774856,8.213953318,70,1.848,1.9,0.65,0.793333333,0.143333333,1.621818182
11,14.44745967,3.353141146,3.668124134,3.626521749,32.16666667,2.535454545,2.606666667,1.022222222,1.373333333,0.351111111,2.453636364
12,49.01420817,5.152138391,6.334258654,4.782268909,74.83333333,2.038333333,2.336666667,0.736666667,0.866666667,0.13,1.704166667
13,43.29448329,8.436783069,9.499772927,7.87756266,32.66666667,2.778333333,1.93,0.72,0.92,0.2,2.008333333
14,68.76655226,2.796314145,2.848746462,3.23195694,82,2.1875,2.73,1.2,1.79,0.59,2.016666667
15,26.20257725,4.29372065,4.412355869,4.612341124,33.83333333,2.488888889,2.37,1.028,1.316,0.288,1.936
16,36.02550033,8.097960702,9.0237219,7.649441381,60.16666667,1.835,1.951428571,0.741428571,0.868571429,0.127142857,1.767
17,40.78707259,4.521609786,5.371159957,4.408282983,39.33333333,2.603,2.4125,0.815,1.0225,0.2075,2.027
18,7.018245991,3.996674509,4.197381608,4.295420105,40.33333333,2.106666667,2.437272727,1.021818182,1.300909091,0.279090909,2.183333333
19,58.13668242,9.966269337,10.60276281,9.471253876,65.66666667,1.79625,1.802,0.74,0.878,0.138,1.95125
20,,,,,,,,,,,
21,10.25641026,,,,39,2.233333333,,,,,1.965
22,17.83397562,7.361117895,7.896882709,7.19528664,35.83333333,1.779090909,1.997,0.809,0.952,0.143,2.07
23,,,,,,,,,,,
24,38.87554687,3.784016385,3.680216144,4.239084545,65.38888889,2.187,2.45,1.153333333,1.521666667,0.368333333,2.0375
25,43.42575658,4.047043018,4.58907378,4.152733372,83.55555556,1.766,2.47,0.91,1.206666667,0.296666667,1.893333333
26,55.13972358,10.17852424,10.96942346,9.581871259,68,1.978888889,1.794285714,0.721428571,0.81,0.088571429,1.990909091
27,35.62286964,2.883353813,3.168260422,3.191225146,36.16666667,2.488,2.744,1.068,1.536,0.468,2.611
28,33.59558849,2.75365878,3.019124654,3.076213751,73.5,2.218888889,2.785,1.088,1.489,0.401,2.285454545
29,26.61290323,,,,31,2.46,,,,,1.705
30,11.19342234,3.695911025,4.442165103,3.685245717,39.25,2.05,2.59,0.855,1.105,0.25,1.545714286
31,57.11184875,8.168082082,9.636485637,7.392922148,69.16666667,2.088,1.976666667,0.676666667,0.818888889,0.142222222,2.072222222
32,48.22786795,,,,72.22222222,2.244,,,,,1.738181818
33,26.7137923,8.243917942,9.189372578,7.769888831,39,2.164545455,1.94,0.736666667,0.863333333,0.126666667,1.776083333
34,44.99356626,3.983381585,4.439878931,4.143299203,69.83333333,2.276363636,2.472222222,0.938888889,1.252222222,0.313333333,2.143636364
35,28.57750437,6.31316819,6.743880729,6.30373594,34,2.191428571,2.1,0.856666667,1.036666667,0.18,1.775714286
36,28.98505207,4.433436454,5.331346231,4.292171291,34,2.623333333,2.438,0.804,1.032,0.228,2.248
37,40.5085111,4.582405845,4.894654415,4.782268909,38.33333333,2.738571429,2.336666667,0.953333333,1.146666667,0.193333333,2.14125
38,30.64908694,4.272858098,4.67977732,4.443314506,73.83333333,1.838,2.405,0.94125,1.325714286,0.384464286,2.007272727
39,44.55883678,10.59671724,11.69627664,9.791726178,65.16666667,1.81,1.78,0.6875,0.78375,0.09625,1.669166667
40,23.58200707,10.71365586,13.4016206,8.919865106,31.83333333,2.275555556,1.8425,0.56,0.6425,0.0825,1.77625
41,6.343861899,2.620459011,2.951180165,2.906069775,40.33333333,2.22,2.85,1.062857143,1.345714286,0.282857143,2.012857143
42,33.63090363,8.719317806,10.55157745,7.664347774,30.83333333,2.035,1.95,0.635,0.74,0.105,1.598
43,41.95439045,6.847783649,7.509249867,6.666065536,70,2.183,2.055714286,0.802857143,1.018333333,0.21547619,1.935833333
44,18.21664009,10.01961022,11.63842786,8.97879266,39.83333333,1.908,1.838,0.648,0.736,0.088,1.639090909
45,8.408679928,3.394763751,4.023528152,3.471978417,39,2.642857143,2.6525,0.9,1.145,0.245,2.3675
46,20.92608541,2.430493757,2.792426615,2.697080116,69,2.106,2.938,1.057,1.429,0.372,2.504444444
47,13.45473251,4.774262204,5.314668627,4.835044869,38,2.029,2.326666667,0.885555556,1.101111111,0.215555556,1.933
48,33.63979443,3.023389515,3.713340791,3.062608983,73.66666667,2.21,2.79,0.881428571,1.262857143,0.381428571,2.232727273
49,52.50863369,14.04193123,17.99146035,11.09968797,41.66666667,2.16,1.7,0.49,0.525,0.035,1.77
50,37.72822565,8.612488758,9.070477315,8.354387476,29.94444444,2.345714286,1.888,0.788,0.944,0.156,2.06
51,43.13182915,3.998982993,4.427682925,4.174076384,75.66666667,1.95125,2.465,0.947,1.247,0.3,2.269090909
52,29.34612651,11.15020672,13.98475536,9.220249554,34.16666667,2.47375,1.82,0.55,0.6275,0.0775,1.838571429
53,30.5316092,5.108640953,5.544013457,5.202401168,30,2.71,2.26125,0.89875,1.095,0.19625,2.125454545
54,52.16640014,11.28853278,12.66891056,10.25467125,72.33333333,1.9325,1.75,0.656666667,0.756666667,0.1,1.643583333
55,58.8652892,6.511789412,6.565554898,6.663631254,63.16666667,2.17,2.056,0.918,1.116,0.198,1.868
56,51.57963963,7.045028142,8.085919999,6.629687413,64.16666667,2.261111111,2.06,0.7425,0.8725,0.13,1.887
57,53.51298247,7.988138491,8.63796667,7.699294556,62.72222222,1.871,1.946666667,0.778333333,0.948333333,0.17,1.801818182
58,57.66598754,10.3451155,12.27061895,9.084958565,69.5,2.052727273,1.83,0.62,0.66,0.04,1.83
59,29.45435366,5.549946831,6.347599788,5.40294016,41.83333333,2.399166667,2.228333333,0.808333333,1.051666667,0.243333333,2.109166667
60,2.626273571,3.51951944,4.075957586,3.640276585,42.55555556,2.399,2.602727273,0.922727273,1.23,0.307272727,1.9075
61,8.047518734,4.29519077,4.477204527,4.582699976,39.33333333,2.202727273,2.376,1.008,1.303,0.295,1.943636364
62,49.36129941,4.71593024,4.515631969,5.14121501,68,2.11625,2.271666667,1.093333333,1.453333333,0.36,2.03625
63,11.99226699,6.115387674,7.352486873,5.651108664,40.5,2.003333333,2.19,0.7225,0.895,0.1725,1.685
64,30.20389076,6.088614185,7.388054808,5.584781132,41.5,2.103333333,2.2,0.7125,0.81,0.0975,1.681111111
65,19.18786693,5.273231421,5.751403895,5.330583986,71.5,1.63125,2.24,0.882857143,1.107142857,0.224285714,1.86875
66,19.00886382,5.347772881,5.985327568,5.310172159,34.33333333,2.239090909,2.243333333,0.845833333,1.045,0.199166667,2.274545455
67,51.0708729,7.298450676,8.156155477,6.965728552,74.55555556,1.822727273,2.021666667,0.764285714,0.898571429,0.134285714,1.665454545
68,30.74688406,4.336787056,4.807840241,4.46689712,78.33333333,1.984166667,2.4,0.92,1.2,0.28,2.099166667
69,55.70767692,3.130541427,3.494819165,3.383880759,44.75,2.18,2.68,1.015,1.1925,0.1775,1.925
70,22.47167726,5.708790137,6.616960146,5.482838104,41.16666667,2.166,2.215714286,0.784285714,0.96,0.175714286,1.985555556
71,52.50004876,5.096190683,6.068617518,4.870706177,76.5,1.867777778,2.32,0.78,0.96,0.18,1.639
72,53.88083499,6.343882954,7.84781115,5.684706633,74.83333333,1.998571429,2.185,0.68,0.75,0.07,1.727142857
73,41.4299638,6.076474103,6.945655372,5.845437843,33.66666667,2.426666667,2.161666667,0.785,0.993333333,0.208333333,2.052727273
74,15.36424667,5.397594147,5.743831583,5.514207751,39.16666667,2.045833333,2.210833333,0.9075,1.104166667,0.196666667,2.2325
75,22.12095921,4.045907739,3.803843638,4.538761415,63.33333333,2.170909091,2.385,1.1775,1.465,0.2875,2.760909091
76,42.13164049,3.213229194,3.25591134,3.635824302,38,2.442,2.604,1.154,1.47,0.316,2.08
77,30.75535853,4.369718758,4.308289402,4.76486518,37.5,2.43,2.34,1.08,1.42,0.34,1.912727273
78,40.96405229,2.972648933,3.014925237,3.40644284,72.66666667,2.286666667,2.672857143,1.182857143,1.538571429,0.355714286,2.393
79,3.947368421,4.213286808,5.098818688,4.089661061,35.5,2.114166667,2.485,0.809166667,1.000833333,0.191666667,2.140833333
80,50.78358606,4.173356357,4.401985051,4.445925729,87,1.764444444,2.404444444,1.001111111,1.457777778,0.456666667,1.973636364
81,24.65309201,6.409799521,6.907858503,6.356408683,39.33333333,2.17,2.093333333,0.841666667,1.005,0.163333333,1.696666667
82,28.98793871,5.487279294,6.270414669,5.353685329,74.66666667,1.739166667,2.23625,0.8125,0.97375,0.16125,2.0025
83,10.9079517,3.524781337,3.634726209,3.89811244,38.16666667,2.3025,2.532727273,1.092727273,1.447272727,0.354545455,2.592727273
84,29.37646002,4.39963252,4.841353334,4.542225892,76.88888889,1.970833333,2.384285714,0.925714286,1.175714286,0.25,1.861666667
85,17.05874572,8.663768268,10.4976742,7.612359914,34.33333333,2.653,1.955,0.635,0.76,0.125,1.802
86,22.50330688,3.500673492,3.895725678,3.721156479,32.5,2.181666667,2.58,0.9825,1.3325,0.35,2.043333333
87,20.68923503,3.465255263,4.188027559,3.476517386,42.33333333,2.56,2.651111111,0.865555556,1.131111111,0.265555556,2.260909091
88,13.30905269,3.161868185,3.224990626,3.577117741,42.66666667,2.508888889,2.621,1.15,1.525,0.375,2.562
89,55.25614969,3.7241005,4.295530056,3.827325946,70.66666667,2.299,2.55125,0.91125,1.20875,0.2975,2.239
90,38.18341033,4.443274875,4.532096644,4.76486518,37.66666667,2.426,2.34,1.026666667,1.293333333,0.266666667,1.699090909
91,53.66260003,9.104308827,10.9121974,8.031996684,65.5,2.117777778,1.916,0.636,0.746,0.11,1.795
92,35.12709513,4.164788966,4.382925773,4.443314506,71.33333333,1.866363636,2.405,1.005,1.325,0.32,2.1725
93,41.61324786,4.149379637,4.939686976,4.092632374,75,1.95,2.484285714,0.835714286,1.104285714,0.268571429,1.90375
94,7.668128655,4.435900935,4.962211792,4.527763927,36.16666667,1.93,2.387272727,0.900909091,1.071818182,0.170909091,1.8275
95,47.97619048,5.301214806,5.317160657,5.584781132,71.16666667,1.956363636,2.2,0.99,1.361,0.371,2.43
96,56.16216543,4.953541393,5.106336098,5.203882759,76.77777778,2,2.261,0.976,1.292,0.316,2.364
97,10.48731734,3.71837175,3.830237429,4.079286479,48.33333333,2.244,2.4875,1.075,1.36625,0.29125,2.656
98,12.59615385,5.351070075,5.895332945,5.365844754,39.5,1.798333333,2.234285714,0.865714286,1.038571429,0.172857143,1.897142857
99,36.69719899,4.572177843,5.008514436,4.705897544,76.83333333,1.785,2.351428571,0.92,1.182857143,0.262857143,1.980833333
100,56.82531105,6.577570982,7.235410927,6.423160567,67.83333333,1.99375,2.085,0.81,1.0125,0.2025,1.784
101,7.525351361,4.320639077,4.910495343,4.382014135,39.66666667,2.069166667,2.418181818,0.887272727,1.091818182,0.204545455,1.8425
102,,,,,,,,,,,
103,36.10219893,4.99968558,5.830765768,4.870706177,75.83333333,1.745454545,2.32,0.811818182,1.041818182,0.23,2.030909091
104,40.84046146,4.842660937,5.311686951,4.938621867,67.33333333,1.891666667,2.3075,0.900833333,1.211666667,0.310833333,2.235833333
105,25.95863527,5.05068532,5.251443634,5.269691463,34.16666667,2.78875,2.25,0.958333333,1.261666667,0.303333333,2.117777778
106,41.44615864,4.240308388,4.530259989,4.476381805,82.66666667,1.85125,2.398,0.978,1.312,0.334,2.182555556
107,22.89437106,9.752160586,12.38325809,8.071294314,35,2.046666667,1.9125,0.5625,0.636666667,0.074166667,1.59
108,62.89437969,5.250655088,6.44016553,4.870706177,58.66666667,2.18,2.32,0.735,0.98,0.245,1.931111111
109,16.16373822,3.540059521,4.010097781,3.713933114,38.83333333,2.4,2.582,0.953,1.168,0.215,2.188
110,36.86635945,3.873992073,4.280459691,4.068950661,67.75,1.814285714,2.49,0.96,1.402857143,0.442857143,2.235714286
111,17.97405672,3.702329024,4.20820283,3.84719545,38,2.45375,2.546,0.934,1.164,0.23,2.24
112,19.87654321,6.370818309,7.901478722,5.691461385,41.5,2,2.184,0.676,0.814,0.138,2.194
113,5.000784683,4.693853014,5.235335833,4.759662232,40.83333333,1.997,2.341,0.888,1.083,0.195,2.005454545
114,10.52573319,5.039058386,5.417965118,5.168494934,38.66666667,2.101818182,2.267,0.915,1.171,0.256,2.245454545
115,66.34385869,,,,60.5,2.075,,,,,1.78375
116,16.85015203,3.472087505,3.738728356,3.766776026,42.16666667,2.669,2.5675,1.03375,1.3325,0.29875,2.308
117,38.51004851,5.951714712,6.51223153,5.906838513,68,1.863,2.153,0.844,1.049,0.205,1.995454545
118,29.44635759,6.034861653,6.444696918,6.062067182,33.94444444,2.454444444,2.131666667,0.87,1.096666667,0.226666667,2.141111111
119,10.80975063,4.256731449,4.222250354,4.648649662,39.83333333,2.330909091,2.362727273,1.080909091,1.331818182,0.250909091,2.370909091
120,,,,,,,,,,,
121,24.62692311,6.074912979,7.470631514,5.506685724,33.16666667,2.134166667,2.212,0.697,0.868,0.171,1.953636364
122,41.75186447,4.327698608,5.186802808,4.217250341,77.66666667,2.005454545,2.455,0.815,1.08,0.265,1.626363636
123,9.3331014,4.102123725,4.967394924,3.99655296,40.33333333,2.3,2.507777778,0.815555556,0.981111111,0.165555556,1.798333333
124,14.44703807,4.031249718,4.185973776,4.350794829,32,2.178181818,2.425,1.035,1.2675,0.2325,2.238181818
125,49.38596491,3.760957933,3.961172422,4.074852107,78.16666667,1.870909091,2.488571429,1.038571429,1.367142857,0.328571429,1.89
